orden,rama,ocupacion,tareas,tecno
3,VENTA DE INDUMENTARIA,EMPLEADA DE ATENCION AL PUBLICO,MUESTRA ROPA INFORMAL Y FORMAL,"ESTANTERIAS, MOSTRADORES, LAPICEROS, CUADERNOS"
8,ESCUELA DE EDUCACION PRIMARIA,PORTERA,LIMPIEZA DE AULAS Y BAÑOS,"ESCOBAS, DESINFECTANTES, BALDES, TRAPO DE PISO, SECADOR"
12,ELABORACION DE TEJIDO A PEDIDO,TEJEDORA,TEJER A DOS AGUJAS,"AGUJAS, LANA, HILO"
21,INDUSTRIA QUIMICA - DESTILERIA -,EMPLEADO DE MANTENIMIENTO,MANTENER LIMPIO FILTROS,"PALA, ESPATULA, SOLDADORA, LLAVES"
22,EXPORTACION DE PASAS DE UVAS,EMPLEADA RURAL,SELECCIONAR PASAS,GUANTES Y PLANCHA DE HIERRO
26,CASA DE FAMILIA,SERVICIO DE PERSONA ENFERMA,"ACOMPAÑAR, ALIMENTAR Y DAR REMEDIOS A PERSONAS ENFERMAS",GUANTES
28,CONSTRUCCION DE VIVIENDAS,AYUDANTE DE ALBAÑIL,AYUDA A OTROS ALBAÑILES EN LA PREPARACION DE MATERIALES,"BALDES, PALAS, PICOS, PALETA DE ALISAR"
32,CONSTRUCCION Y ARREGLOS DE VIVIENDAS,AYUDANTE DE ALBAÑIL,ARREGLOS DE ALBAÑILERIA,
33,CONSTRUCCION DE VIVIENDAS,ALBAÑIL,"CONSTRUCCION: PEGA LADRILLOS, HACE HORMIGON, REVOCA, COLOCA LOZAS",
35,CUIDADO DE NIÑOS,NIÑERA,"CUIDA NIÑOS, HACE LA COMIDA, BAÑA AL NIÑO",
39,CAJA DE ACCION SOCIAL: PRESTAMOS Y JUEGOS DE LA PROV.,ADMINISTRATIVA,"ATIENDE LOS AGENCIEROS, SE ENCARGA DEL TELEFONO","PAPELES, ABROCHADORA, TICKET, PLANILLAS, LAPICERA"
47,ESCUELA: ENSEÑANZA,PASANTE EN UNA ESCUELA,TAREAS DE LIMPIEZA DEL EDIFICIO,"ART. DE LIMPIEZA, SECADOR, TRAPO DE PISO, MANGUERA, GUANTES"
57,VENTA Y FABRICACION DE JUGOS. EMPRESA FAMILIAR,FABRICANTE Y COMERCIANTE DE JUGOS,"FABRICACION DE JUGOS, ENVASADO, SUPERVISION DE EMPLEADOS","MOVILIDAD, MAQUINAS PARA HACER JUGOS, ENVASADORA"
59,BODEGA: FABRICA DE VINOS Y MOSTOS,PEON RURAL,"PLOMERIA, MECANICA, LIMPIEZA DE PILETAS","PALA, RASTRILLO, SOLDADORA, ETC"
68,ENSEÑANZA PRIMARIA A NIÑOS,PORTERA,LIMPIEZA DEL EDIFICIO ESCOLAR,"ELEMENTOS DE LIMPIEZA: TRAPO DE PISO, SECADOR, LAMPAZO"
71,ORGANISMO DEL ESTADO DEPENDIENTE DEL MINISTERIO DE JUSTICIA,RESPONSABLE DE PRENSA,REDACCION Y PUBLICACION DE INFORMACION Y NOTICIAS EN PAG. WEB,"COMPUTADORA, INTERNET, TELEFONO, IMPRESORA, SOBRES, SELLOS, ETC"
72,ESCUELA DE ENSEÑANZA SUPERIOR. MINISTERIO DE EDUC,"PROFESORA EN EL NIVEL SUPERIOR, EQUIPO TECNICO DE ME",DICTADO DE CLASE EN PROFESORADO,"COMPUTADORA, IMPRESORA, PIZARRON, MARCADORES"
75,,EMPLEADA DOMESTICA,"LIMPIAR MUEBLES Y EL PISO, LLEVAR LA ROPA","ESCOBA, PROD DE LIMPIEZA, JABON"
